,ano_x,tipo_eleicao,sigla_uf,id_municipio,id_municipio_tse,id_candidato_bd,sequencial_candidato,numero,nome,nome_urna,numero_partido,sigla_partido,cargo,situacao,ocupacao,data_nascimento,idade,genero,instrucao,estado_civil,nacionalidade,sigla_uf_nascimento,municipio_nascimento,raca,resultado,fund_outro,fund_part,fund_esp
0,2020,eleicao ordinaria,BA,2913606,35734,2711.0,50001109641,50777,Ramon Souza Santos,Cacique Ramon Tupinambá,50,PSOL,vereador,deferido,agricultor,1985-05-06,35,masculino,ensino superior incompleto,casado(a),brasileira,BA,Ilhéus,indigena,nao eleito,,,1210.0
1,2020,eleicao ordinaria,MT,5103304,99015,4124.0,110001212680,55001,Paulo Henrique Mamainde,Paulo Henrique,55,PSD,vereador,deferido,outros,1991-08-28,29,masculino,ensino fundamental completo,solteiro(a),brasileira,MT,Comodoro,indigena,suplente,,,
2,2020,eleicao ordinaria,SP,3503356,62065,5865.0,250000640584,45888,Wagner Indubrasil,Wagner Indubrasil,45,PSDB,vereador,deferido,outros,1982-05-26,38,masculino,ensino medio completo,casado(a),brasileira,SP,Braúna,indigena,suplente,403.0,,500.0
3,2020,eleicao ordinaria,SP,3553500,71714,6631.0,250001001737,70170,Pedro Fernandes Soares,Pedro Indigena,70,AVANTE,vereador,deferido,outros,1969-03-10,52,masculino,ensino fundamental incompleto,solteiro(a),brasileira,SP,São Paulo,indigena,nao eleito,180.0,,
4,2020,eleicao ordinaria,MT,5108402,91677,7147.0,110001259864,36200,Roque Teromnhi Eiwe,Roque Xavante,36,PTC,vereador,deferido,aposentado (exceto servidor publico),1963-12-31,57,masculino,ensino superior completo,casado(a),brasileira,MT,Novo São Joaquim,indigena,nao eleito,,,
5,2020,eleicao ordinaria,PA,1504422,4642,7498.0,140001246837,28222,Cirene Maciel Rosa,Cirene Rosa,28,PRTB,vereador,deferido,agricultor,1958-06-11,62,feminino,ensino fundamental incompleto,solteiro(a),brasileira,PA,Benevides,indigena,nao eleito,3793.0,,
6,2020,eleicao ordinaria,BA,2925303,38075,8276.0,50001140680,13300,Pedro Da Conceição Braz,Pedro Pataxo,13,PT,vereador,deferido,motorista de veiculos de transporte coletivo de passageiros,1963-06-25,57,masculino,ensino fundamental incompleto,divorciado(a),brasileira,BA,Porto Seguro,indigena,nao eleito,,,
7,2020,eleicao ordinaria,AM,1301605,2330,8644.0,40001045227,22000,Maria Da Conceicao Monteiro Dos Santos,Conceição,22,PL,vereador,deferido,servidor publico municipal,1987-04-20,33,feminino,ensino medio completo,solteiro(a),brasileira,AM,Fonte Boa,indigena,suplente,2100.0,,
8,2020,eleicao ordinaria,AM,1302603,2550,16488.0,40001115821,65777,Elizoneide Rodrigues Silva,Profa Elizoneide Afro Indígena,65,PC do B,vereador,deferido,professor de ensino fundamental,1964-05-09,56,feminino,ensino superior completo,divorciado(a),brasileira,MA,Estreito,indigena,,,,5584.59
9,2020,eleicao ordinaria,SP,3536505,68314,17538.0,250000991585,13420,Luiz Felipe Rodrigues Da Silva,Luiz Felipe Carioca Da Silva,13,PT,vereador,deferido,tecnico em informatica,1986-07-12,34,masculino,ensino superior incompleto,solteiro(a),brasileira,RJ,Rio De Janeiro,indigena,nao eleito,,,2516.38
10,2020,eleicao ordinaria,SC,4203709,80713,18803.0,240000919341,10352,Luciano Benite,Luciano Benite,10,REPUBLICANOS,vereador,deferido,artesao,1992-12-10,28,masculino,ensino fundamental incompleto,solteiro(a),brasileira,RS,Viamão,indigena,nao eleito,820.0,,5000.0
11,2020,eleicao ordinaria,AM,1302603,2550,22863.0,40000868262,13777,Maria Odimar Da Silva Guimaraes,Odimar Guimarâes,13,PT,vereador,deferido,outros,1972-07-08,48,feminino,ensino superior completo,viuvo(a),brasileira,AM,Tefé,indigena,,,,20405.25
12,2020,eleicao ordinaria,PE,2601052,23205,24629.0,170001089380,40111,Miqueias Jose Da Silva,Miqueias Do Cloro,40,PSB,vereador,deferido,comerciante,1986-08-21,34,masculino,ensino medio completo,casado(a),brasileira,PE,Araçoiaba,indigena,suplente,,400.0,
13,2020,eleicao ordinaria,AC,1200351,1040,25102.0,10000991895,15150,Francisco Siqueira,Chiquim Da Ilda,15,MDB,vereador,deferido,outros,1970-07-19,50,masculino,ensino fundamental completo,solteiro(a),brasileira,AC,Cruzeiro Do Sul,indigena,suplente,1948.9,,
14,2020,eleicao ordinaria,AM,1301506,2313,26162.0,40001218753,11888,Ajiqui Kulina,Ajiqui Kulina,11,PP,vereador,deferido,outros,1990-06-05,30,masculino,ensino fundamental incompleto,solteiro(a),brasileira,AM,Envira,indigena,suplente,,,
15,2020,eleicao ordinaria,SP,3556206,72257,27513.0,250001192406,13100,Andrea Alves Dos Santos Strabello,Andrea Alves,13,PT,vereador,deferido,pedagogo,1982-10-28,38,feminino,ensino superior completo,casado(a),brasileira,SP,Valinhos,indigena,suplente,,,3348.0
16,2020,eleicao ordinaria,AC,1200609,1473,27592.0,10001082419,12123,Francisco Da Silva Manoel,Cacique Nasso Kaxinawá,12,PDT,vereador,deferido,vereador,1969-10-26,51,masculino,ensino superior completo,casado(a),brasileira,AC,Tarauacá,indigena,suplente,,,212.0
17,2020,eleicao ordinaria,AC,1200302,1139,28452.0,10001261154,17111,José Francisco Nunes Situba Kaxinawá,Zé Francisco Kaxinawá,17,PSL,vereador,deferido,administrador,1968-12-15,52,masculino,ensino superior completo,solteiro(a),brasileira,AC,Feijó,indigena,nao eleito,,,
18,2020,eleicao ordinaria,SP,3518800,64777,36866.0,250000684608,13040,Nayde De Oliveira Nascimento,Nayde O Eletricista,13,PT,vereador,deferido,eletricista e assemelhados,1963-10-08,57,masculino,ensino fundamental incompleto,casado(a),brasileira,BA,Barra Do Choça,indigena,suplente,1951.0,,9373.35
19,2020,eleicao ordinaria,AM,1303569,98434,39357.0,40001025829,13213,Valcilene Alves De Lima,Val,13,PT,vereador,deferido,agricultor,1961-11-11,59,feminino,ensino medio completo,solteiro(a),brasileira,AM,Manacapuru,indigena,nao eleito,6011.35,,4457.6
20,2020,eleicao ordinaria,MA,2105476,7765,39633.0,100000758483,18123,Galeno Cabral Viana Guajajara,Galeno Guajajara,18,REDE,vereador,deferido,agricultor,1971-04-28,49,masculino,ensino fundamental incompleto,solteiro(a),brasileira,MA,Barra Do Corda,indigena,nao eleito,,,
21,2020,eleicao ordinaria,AM,1300508,2119,40812.0,40001111847,13333,Vivaldo Valente Dos Santos,Padre Vivaldo,13,PT,vereador,deferido,outros,1965-07-21,55,masculino,ensino medio completo,solteiro(a),brasileira,AM,Barreirinha,indigena,nao eleito,,,455.0
22,2020,eleicao ordinaria,SP,3548500,70718,41052.0,250001083331,12221,Jaciara Ferreira Dos Santos,Jaciara Zinha,12,PDT,vereador,deferido,empregado domestico,1979-08-22,41,feminino,ensino fundamental completo,solteiro(a),brasileira,BA,Ibirataia,indigena,nao eleito,1250.0,,
